,hanja,huneum,strokes,radical,read_level,write_level
0,加,더할 가,5,"力(힘력, 2획)",5급,4급
1,可,옳을 가,5,"口(입구, 3획)",5급,4급
2,價,값 가,15,"亻(사람인변, 2획)",5급Ⅱ,4급Ⅱ
3,家,집 가,10,"宀(갓머리, 3획)",7급Ⅱ,6급
4,歌,노래 가,14,"欠(하품흠, 4획)",7급,6급
5,各,각각 각,6,"口(입구, 3획)",6급Ⅱ,5급Ⅱ
6,角,뿔 각,7,"角(뿔각, 7획)",6급Ⅱ,5급Ⅱ
7,間,사이 간,12,"門(문문, 8획)",7급Ⅱ,6급
8,感,느낄 감,13,"心(마음심, 4획)",6급,5급
9,強,강할 강,11,"弓(활궁, 3획)",6급,5급
10,江,강 강,6,"氵(삼수변, 3획)",7급Ⅱ,6급
11,改,고칠 개,7,"攵(등글월문, 4획)",5급,4급
12,開,열 개,12,"門(문문, 8획)",6급,5급
13,客,손 객,9,"宀(갓머리, 3획)",5급Ⅱ,4급Ⅱ
14,去,갈 거,5,"厶(마늘모, 2획)",5급,4급
15,擧,들 거,18,"手(손수, 4획)",5급,4급
16,車,수레 거 | 수레 차,18,"車(수레거, 7획)",7급Ⅱ,6급
17,件,물건 건,6,"亻(사람인변, 2획)",5급,4급
18,健,굳셀 건,11,"亻(사람인변, 2획)",5급,4급
19,建,세울 건,9,"廴(민책받침, 3획)",5급,4급
20,格,격식 격,10,"木(나무목, 4획)",5급Ⅱ,4급Ⅱ
21,見,볼 견 | 뵈올 현,7,"見(볼견, 7획)",5급Ⅱ,4급Ⅱ
22,決,결단할 결,7,"氵(삼수변, 3획)",5급Ⅱ,4급Ⅱ
23,結,맺을 결,12,"糸(실사, 6획)",5급Ⅱ,4급Ⅱ
24,景,볕 경,12,"日(날일, 4획)",5급,4급
25,競,다툴 경,20,"立(설립, 5획)",5급,4급
26,輕,가벼울 경,14,"車(수레거, 7획)",5급,4급
27,敬,공경할 경,13,"攵(등글월문, 4획)",5급Ⅱ,4급Ⅱ
28,京,서울 경,8,"亠(돼지해머리, 2획)",6급,5급
29,界,지경 계,9,"田(밭전, 5획)",6급Ⅱ,5급Ⅱ
30,計,셀 계,9,"言(말씀언, 7획)",6급Ⅱ,5급Ⅱ
31,固,굳을 고,8,"囗(큰입구, 3획)",5급,4급
32,考,생각할 고,6,"耂(늙을로엄, 4획)",5급,4급
33,告,고할 고,7,"口(입구, 3획)",5급Ⅱ,4급Ⅱ
34,古,예 고,5,"口(입구, 3획)",6급,5급
35,苦,쓸 고,9,"艹(초두머리, 4획)",6급,5급
36,高,높을 고,10,"高(높을고, 10획)",6급Ⅱ,5급Ⅱ
37,曲,굽을 곡,6,"曰(가로왈, 4획)",5급,4급
38,公,공평할 공,4,"八(여덟팔, 2획)",6급Ⅱ,5급Ⅱ
39,共,한가지 공,6,"八(여덟팔, 2획)",6급Ⅱ,5급Ⅱ
40,功,공 공,5,"力(힘력, 2획)",6급Ⅱ,5급Ⅱ
41,工,장인 공,3,"工(장인공, 3획)",7급Ⅱ,6급
42,空,빌 공,8,"穴(구멍혈, 5획)",7급Ⅱ,6급
43,課,공부할 | 과정 과,15,"言(말씀언, 7획)",5급Ⅱ,4급Ⅱ
44,過,지날 과,13,"辶(책받침, 4획)",5급Ⅱ,4급Ⅱ
