,hanja,han,kor,meaning
0,入,加入,가입,단체나 조직의 구성원이 됨
1,入,入學,입학,공부를 할 목적으로 학교에 들어감
2,入,輸入,수입,외국의 물품을 사들임
3,入,流入,유입,물이 어떤 곳으로 흘러들어 옴
4,入,導入,도입,"기술, 방법, 물자 따위를 끌어들임"
5,過,通過,통과,어떤 기관에 제출한 서류나 안건 따위가 검열이나 심의에 승인됨
6,過,過去,과거,지나간 일이나 때
7,過,過熱,과열,지나치게 활기를 띰
8,過,過失,과실,부주의로 인하여 생긴 잘못이나 허물
9,過,不過,불과,그 수량 정도에 지나지 않음을 이르는 말
10,吉,吉祥,길상,좋은 일이 일어날 조짐
11,吉,吉兆,길조,복되고 좋은 일이 있을 조짐
12,吉,吉凶,길흉,운수의 좋음과 나쁨
13,吉,吉日,길일,복되고 운 좋은 일이 있을 조짐이 있는 날
14,吉,吉祭,길제,담제를 지낸 다음 오는 정일과 해일을 택해서 신주를 사당에 안치하기 위해 지내는 제사
15,友,友情,우정,친구 사이의 정
16,友,友邦,우방,서로 우호적인 관계를 맺고 있는 나라
17,友,友愛,우애,형제 사이의 정과 사랑
18,友,友好,우호,개인 간이나 국가 간에 서로 친하고 사이가 좋음
19,友,友好的,우호적,개인 간이나 국가 간에 서로 친하고 사이가 좋은 것
20,爭,競爭,경쟁,같은 목적에 대하여 서로 이기거나 앞서려고 다툼
21,爭,鬪爭,투쟁,단체나 개인 등이 어떤 목적을 이루거나 상대편을 극복하기 위하여 힘쓰거나 싸움
22,爭,戰爭,전쟁,나라나 단체들 사이에서 무력을 써서 행하는 싸움
23,爭,紛爭,분쟁,서로 시끄럽게 다툼
24,爭,論爭,논쟁,서로 다른 견해를 가진 사람들이 말이나 글로 옳고 그름을 따지며 다툼
25,育,育兒,육아,어린아이를 기름
26,育,敎育,교육,사회생활에 필요한 지식이나 기술 및 바람직한 인성과 체력을 갖도록 가르치는 조직적이고 체계적인 활동
27,育,體育,체육,일정한 운동을 통해 신체를 튼튼하게 단련시키는 일
28,育,育成,육성,"어떤 일이나 인물, 대상 따위를 어떠한 목적을 전제로 가꾸어 키우거나 발전시킴"
29,育,敎育的,교육적,사회생활에 필요한 지식이나 기술 및 바람직한 인성과 체력을 갖도록 가르치는
30,敬,恭敬,공경,남을 대할 때 몸가짐을 조심스럽게 하고 받듦
31,敬,尊敬,존경,우러러 받듦
32,敬,敬禮,경례,경의나 공경을 표하는 뜻으로 고개를 숙이거나 오른손을 이마 또는 가슴에 대는 동작
33,敬,敬意,경의,존경의 뜻
34,敬,尊敬心,존경심,높이어 공경하는 마음
35,洋,洋襪,양말,실이나 섬유로 짜서 맨발에 신도록 만든 물건
36,洋,洋服,양복,남성의 서양식 정장
37,洋,海洋,해양,넓고 큰 바다
38,洋,東洋,동양,유럽 대륙의 동쪽에 위치한 아시아 지역
39,洋,西洋,서양,동양에 대하여 유럽 대륙과 북아메리카의 여러 나라를 이르는 말
40,多,多數,다수,많은 수
41,多,多幸,다행,"주로 ‘-이다’와 함께 쓰여, 잘 안 될 것으로 여겨 걱정했던 일이 뜻밖에 잘 풀려 마음이 놓이고 흡족함"
42,多,多量,다량,많은 양
43,多,多少,다소,적기는 하지만 어느 정도로
44,多,大多數,대다수,거의 모두
45,少,少數,소수,적은 수효
46,少,少年,소년,아주 어리지도 않고 완전히 성숙하지도 않은 사내아이
47,少,少女,소녀,"아직 충분히 성숙하지 않은, 나이 어린 여자아이"
48,少,多少,다소,적기는 하지만 어느 정도로
49,少,靑少年,청소년,미성년의 젊은이들을 통틀어서 이르는 말. 흔히 십 대의 젊은이를 일컫는다.
50,幸,幸運,행운,좋은 운수
51,幸,幸福,행복,생활에서 기쁨과 만족감을 느껴 흐뭇한 상태
52,幸,多幸,다행,"주로 ‘-이다’와 함께 쓰여, 잘 안 될 것으로 여겨 걱정했던 일이 뜻밖에 잘 풀려 마음이 놓이고 흡족함"
53,幸,不幸,불행,상황이 좋지 않음
54,幸,幸福感,행복감,"생활에서 만족과 기쁨, 보람 따위를 느껴 흐뭇한 마음"
55,河,銀河,은하,천구상에 남북으로 길게 보이는 수억 개의 항성 무리
56,河,氷河,빙하,지상에 쌓인 눈이 융해와 동결을 반복하면서 만들어진 거대한 얼음덩어리
57,河,運河,운하,육지를 파서 인공적으로 강을 내고 배가 다닐 수 있게 한 수로
58,河,河川,하천,육지 표면에서 일정한 물길을 따라 흐르는 큰 물줄기
59,河,河口,하구,강물이 바다로 흘러들어 가는 어귀
60,千,千萬,천만,‘만8’의 천 배가 되는 수
61,千,千金,천금,"엽전 천 냥이라는 뜻으로, 많은 돈이나 비싼 값을 비유적으로 이르는 말"
62,千,數千,수천,‘천8’의 여러 배가 되는 수
63,千,數千萬,수천만,‘천만2’의 여러 배가 되는 수
64,千,三千萬,삼천만,"예전에, 우리나라 인구가 약 삼천만 명이었을 때 우리 국민 전체를 이르던 말"
65,曲,歪曲,왜곡,사실과 달리 그릇되게 하거나 진실과 다르게 함
66,曲,曲調,곡조,음악이나 가사의 가락
67,曲,屈曲,굴곡,이리저리 굽어 꺾임
68,曲,作曲,작곡,일정한 질서에 따라 음을 조합하여 음악 작품을 창조하는 행위
69,曲,曲線,곡선,모나지 않고 굽은 선
70,性,性質,성질,사물이나 현상이 본디부터 가지고 있는 고유의 본바탕
71,性,性格,성격,각 개인이 지닌 특유한 성질이나 품성
72,性,本性,본성,사람이 본래 가지고 태어난 성질
73,性,可能性,가능성,일이 이루어지거나 실현될 수 있는 성질이나 정도
74,性,女性,여성,성의 측면에서 여자를 이르는 말
75,一,萬一,만일,"연결 어미 ‘-면’과 함께 쓰여, 이 말이 포함된 앞 내용이 가정된 일이나 상황, 또는 조건이며 뒤 내용이 그에 따른 결과나 반응을 말할 때 쓰여 앞뒤 문장을 이어 주는 말"
76,一,一旦,일단,우선 먼저
77,一,一般,일반,특별한 일부에 한정되지 않고 전체에 널리 해당되는 것
78,一,第一,제일,여럿 가운데 으뜸으로
79,一,一時,일시,"주로 ‘일시에’의 꼴로 쓰여, ‘몰아서 한꺼번에’의 뜻을 나타내는 말"
80,相,相對,상대,서로 마주 대함
81,相,相當,상당,"일부 명사 앞에서 관형어로 쓰여, 어느 정도의 뜻을 나타내는 말"
82,相,相對的,상대적,다른 것과 서로 맞서거나 비교되는 관계에 있는 것
83,相,相互,상호,관계되는 둘 이상의 사이에서 이쪽과 저쪽 모두
84,相,相關,상관,서로 관련을 가짐
85,基,基礎,기초,사물의 기본이 되는 토대
86,基,基準,기준,기본이 되는 표준
87,基,基本,기본,"어떤 것을 이루기 위해 가장 먼저, 또는 꼭 있어야 하는 것"
88,基,基地,기지,"군대, 탐험대 따위의 활동의 기점이 되는 근거지"
89,基,基本的,기본적,근본이나 기초가 되는 것
90,歌,歌謠,가요,많은 사람들이 즐겨 듣거나 부를 수 있도록 만들어진 노래
91,歌,歌詞,가사,"가곡이나 오페라 등에서, 노래의 내용이 되는 글"
92,歌,歌曲,가곡,시에다가 곡을 붙여 만든 서정적인 노래
93,歌,歌手,가수,노래 부르는 것을 직업으로 삼는 사람
94,歌,流行歌,유행가,특정한 시기에 대중의 인기를 얻어 많은 사람이 듣고 널리 부르는 노래
95,花,花鬪,화투,"꽃 그림이 그려진 투전이라는 뜻으로, 계절에 따라 꽃이나 풀 따위가 있는 풍경을 그려 넣은 딱지 모양의 놀이 도구"
96,花,花盆,화분,화초를 심고 가꾸는 그릇
97,花,花草,화초,꽃이 피는 풀과 나무
98,花,菊花,국화,국화과에 속한 여러해살이풀
99,花,花壇,화단,화초를 심기 위하여 흙을 약간 높게 쌓아 만든 꽃밭
100,全,全體,전체,여러 요소들로 이루어진 것의 온 덩어리
101,全,全部,전부,어떤 대상을 이루는 낱낱의 전체
102,全,全面,전면,일정한 범위 안의 모든 부분
103,全,全的,전적,전체에 걸쳐 모두 다인 것
104,全,安全,안전,위험이 생기거나 사고가 날 염려가 없이 편안하고 온전한 상태
105,主,主人,주인,어떤 대상에 대한 소유권을 가지고 있는 사람
106,主,主題,주제,창의적인 예술 작품에 나타나는 중심 사상
107,主,主要,주요,주되고 중요함
108,主,主義,주의,특정한 일에 대한 일관성 있는 인식과 행동의 원칙
109,主,民主的,민주적,민주주의의 정신이나 원칙에 맞거나 부합되는 것
110,敎,敎授,교수,대학에서 학생을 가르치는 사람
111,敎,敎師,교사,일정한 자격을 가지고 학생을 가르치는 사람
